,name,summary,description
41,napari-lazy-openslide,A plugin to lazily load multiscale whole-slide images with openslide and dask.,"napari-lazy-openslide




An experimental plugin to lazily load multiscale whole-slide tiff images with openslide and dask.

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
Step 1.) Make sure you have OpenSlide installed. Download instructions here.

NOTE: Installation on macOS is easiest via Homebrew: brew install openslide. Up-to-date and multiplatform 
binaries for openslide are also avaiable via conda: conda install -c sdvillal openslide-python

Step 2.) Install napari-lazy-openslide via pip:
pip install napari-lazy-openslide

Usage
This plugin tries to be conservative with what files it will attempt to provide a reader.
It will only attempt to read .tif and .tiff files that openslide will open and are 
detected as multiscale (openslide.OpenSlide.level_count > 1). Under the hood, 
napari-lazy-openslide wraps the openslide reader with a valid zarr.Store where each 
each pyramidal level is exposed as a separate zarr.Array with shape (y,x,4).
The plugin is experimental and has only been tested with CAMELYON16 and CAMELYON17 datasets, 
which can be downloaded here.
bash
$ napari tumor_004.tif

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-lazy-openslide"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
42,napari-lfdfiles,A napari plugin for reading files via lfdfiles,
43,napari-live-recording,A napari plugin for live video recording with a generic camera device.,The developer has not yet provided a napari-hub specific description.
44,napari-manual-split-and-merge-labels,Split and merge labels in napari manually,"napari-manual-split-and-merge-labels





Split and merge labels in napari manually


This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Installation
You can install napari-manual-split-and-merge-labels via pip:
pip install napari-manual-split-and-merge-labels

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-manual-split-and-merge-labels"" is free and open source software
Issues
If you encounter any problems, please create a thread on image.sc along with a detailed description and tag @haesleinhuepf."
45,napari-mat-images,A plugin to load images stored in MATLAB .mat files with napari,"napari-mat-images



Features
This plugin loads image variables stored in MATLAB .mat files into napari.
It loads any variable that looks like an image.
Presently, that includes any array with more than two dimensions with size greater than 20 pixels (determined by shape_is_image()).
If loading a variable with 3 or more dimensions, the plugin assumes that it is a stack of images, and the dimension with greatest size is the axis of the stack.
Loading Large Files
If loading a large .mat file saved in HDF5/v7.3 format, chunks of the images are loaded as needed, resulting in fast initial load, but potentially slower scrolling.
Slices of the image stacks are randomly sampled to determine min/max contrast values.
Requirements
This plugin relies on scipy to load small .mat files and h5py (with dask) to load larger HDF5/v7.3 .mat files.
It implicitly requires napari for use.
Installation
napari-mat-images requires napari to be installed, although it is not listed as a requirement for installation.
This plugin relies on plugin functionality found in napari version > 0.2.12. This can be installed via pip from PyPI:
$ pip install napari>0.2.12

You can install napari-mat-images via pip from PyPI:
$ pip install napari-mat-images

Usage
Once installed, the plugin will be used whenever trying to load a .mat file.
This can be done from the napari GUI or commandline:
$ napari my_file.mat

Contributing
Contributions are very welcome.
Tests can be run with pytest,
please ensure the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license, napari-mat-images is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description.

This napari plugin was generated with Cookiecutter along with napari\'s cookiecutter-napari-plugin template."
46,napari-medical-image-formats,A Plugin in order to read medical image formats such as DICOM and NIfTI,"napari-medical-image-formats



A Plugin in order to read medical image formats such as DICOM and NIfTI without any meta informations. This will be updated soon.

Installation
You can install napari-medical-image-formats via pip:
pip install napari-medical-image-formats

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-medical-image-formats"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
47,napari-micromanager,GUI interface between napari and micromanager,"napari-micromanager





GUI interface between napari and micromanager
🚧 Experimental!  Work in progress!  Here be 🐲 🚧

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-micromanager via pip:
pip install napari-micromanager

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
Launching napari with plugin
You can launch napari and automatically load this plugin using the launch-dev.py script:
bash
python launch-dev.py
Alternatively you can run:
bash
napari -w micromanager
License
Distributed under the terms of the BSD-3 license,
""napari-micromanager"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
48,napari-mrcfile-handler,"A simple plugin to read, write and adjust mrcfiles in napari.",The developer has not yet provided a napari-hub specific description.
49,napari-mrcfile-reader,read MRC format image files into napari,"napari-mrcfile-reader





Read MRC format image files into napari using the mrcfile package from CCP-EM


This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Installation
You can install napari-mrcfile-reader via pip:
pip install napari-mrcfile-reader

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-mrcfile-reader"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
50,napari-mri,A simple plugin to use with napari for 3D-viewing of                  Magnetic Resonance Imaging file formats,"napari-mri





A simple plugin to use with napari for 3D-viewing of Magnetic Resonance Imaging file formats

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-mri via pip:
pip install napari-mri

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-mri"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
51,napari-ndtiffs,napari plugin for nd tiff folders with OpenCl deskew,"napari-ndtiffs





napari plugin for nd tiff folders with optional OpenCl-based deskewing.
Built-in support for folders of (skewed) lattice light sheet tiffs.


This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Features

Drag and drop a folder of tiffs onto napari window to view easily 
(currently designed to detect  lattice light sheet tiffs, but easily
    adjustable)
If lattice Settings.txt file is found, will deskew automatically (only if
  necessary)
Lazily loads dataset on demand.  quickly load preview your data.
Handles .zip archives as well!  Just directly compress your tiff folder,
  then drop it into napari.
All-openCL deskewing, works on GPU as well as CPU, falls back to scipy if
  pyopencl is unavailable.

It would not be hard to support arbitrary filenaming patterns!  If you have a
folder of tiffs with a consistent naming scheme and would like to take advantage
of this plugin, feel free to open an issue!
Installation
You can install napari-ndtiffs via pip:
shell
pip install napari-ndtiffs
To also install PyOpenCL (for faster deskewing):
shell
pip install napari-ndtiffs[opencl]
Usage
In most cases, just drop your folder onto napari, or use viewer.open(""path"")
Overriding parameters
You can control things like voxel size and deskewing angle as follows:
```python
from napari_ndtiffs import parameter_override
import napari
viewer = napari.Viewer()
with parameter_override(angle=45, name=""my image""):
    viewer.open(""path/to/folder"", plugin=""ndtiffs"")
```
Valid keys for parameter_override include:

dx: (float) the pixel size, in microns
dz: (float)the z step size, in microns
deskew: (bool) whether or not to deskew, (by default, will deskew if angle > 0, or if a lattice metadata file is detected that requires deskewing) 
angle: (float) the angle of the light sheet relative to the coverslip
padval: (float) the value with which to pad the image edges when deskewing (default is 0)
contrast_limits: (2-tuple of int) (min, max) contrast_limits to use when viewing the image
name: (str) an optional name for the image

Sample data
Try it out with test data: download sample data
You can unzip if you like, or just drag the zip file onto the napari window.
Or, from command line, use:
bash
napari path/to/lls_mitosis.zip
Debugging
To monitor file io and deskew activity, enter the following in the napari console:
python
import logging
logging.getLogger('napari_llsfolder').setLevel('DEBUG')
Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-ndtiffs"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
52,napari-netpbmfile,A napari plugin for reading files via netpbmfile,
53,napari-nikon-nd2,Opens Nikon ND2 files into napari.,"napari-nikon-nd2





Opens Nikon ND2 files into napari. This plugin uses the nd2reader and pims python packages. 

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-nikon-nd2 via pip:
pip install napari-nikon-nd2

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the Apache Software License 2.0 license,
""napari-nikon-nd2"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description.
Credits
This napari plugin was created using Napari Delta Vision Reader and
the Allen Institute IO plugin as examples."
54,napari-nucleaizer,Napari integration of the nucleaizer algorithm. (https://nucleaizer.org),"napari-nucleaizer





GUI for the nucleaAIzer method in Napari.

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation

Create & enable a virtual env.
Instal napari.
Install nucleaizer_backend.
Install this project into the same virtual environment.

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-nucleaizer"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
55,napari-oiffile,A napari plugin for reading files via oiffile,
56,napari-ome-zarr,A reader for zarr backed OME-NGFF images.,"Description
This plugin provides a reader for zarr backed OME-NGFF images in napari. The reader
will inspect the .zattrs metadata provided and pass any relevant metadata, including channel, scale and colormap metadata. 

The example above uses the image at https://idr.openmicroscopy.org/webclient/?show=image-6001240
Supported Data
This plugin is designed to allow bioimaging researchers and analysts to explore their
multi-resolution images stored in Zarr filesets (according to the OME zarr spec)
without needing an intricate understanding of zarr, or the spec itself.
This plugin supports reading all images recognised as ome-zarr, namely, containing
well-formed .zattrs and .zgroup files, as well as the appropriate directory 
hierarchy as described in the spec. 
The image metadata from OMERO will be used to set channel names, colormaps and rendering settings in napari.
Quickstart
You can open local or remote images using napari at the terminal and the path to your file:
```
$ napari 'https://s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001240.zarr/'
also works with local files
$ napari 6001240.zarr
```
OR in python:
```python
import napari
viewer = napari.Viewer()
viewer.open('https://s3.embassy.ebi.ac.uk/idr/zarr/v0.1/6001240.zarr/')
napari.run()
```
If a single zarray is passed to the plugin, it will be opened without the use of
the metadata:
$ napari '/tmp/6001240.zarr/0'
If an image group contains labels, they will also be opened, and added as a 
separate layer in napari.
When the labels group metadata additionally contains ""rgba"" and ""properties"" keys, 
the labels will be given appropriate colors and the properties will be displayed 
in the status bar.
Working with ome-zarr images can be more convenient using the command-line interface
and utility functions of our associated library ome-zarr. For more information 
please see the package documentation for ome-zarr.
Getting Help
If you discover a bug with the plugin, or would like to request a new feature, please
raise an issue on our repository at https://github.com/ome/napari-ome-zarr.
If you would like assistance with using the plugin, or converting images to
ome-zarr format, please reach out on image.sc.
How to Cite
To cite OME-NGFF:
Next-generation file format (NGFF) specifications for storing bioimaging data in the cloud. J. Moore, et al. Editors. Open Microscopy Environment Consortium, 20 November 2020. This edition of the specification is https://ngff.openmicroscopy.org/0.1/. The latest edition is available at https://ngff.openmicroscopy.org/latest/. (doi:10.5281/zenodo.4282107)
To cite this plugin:
ome-zarr-py: Experimental implementation of next-generation file format (NGFF) specifications for storing bioimaging data in the cloud. OME; et al. 06 October 2020. URL: https://doi.org/10.5281/zenodo.4113931"
57,napari-omero,napari/OMERO interoperability,"napari-omero





This package provides interoperability between the
OMERO image management platform, and
napari: a fast, multi-dimensional image
viewer for python.
It provides a GUI interface for browsing an OMERO instance from within napari,
as well as command line interface extensions for both OMERO and napari CLIs.

Features

GUI interface to browse remote OMERO data, with thumbnail previews.
Loads remote nD images from an OMERO server into napari
Planes are loading on demand as sliders are moved (""lazy loading"").
session management (login memory)
OMERO rendering settings (contrast limits, colormaps, active channels, current
  Z/T position) are applied in napari

as a napari dock widget
To launch napari with the OMERO browser added, install this
package and run:
bash
napari_omero
The OMERO browser widget can also be manually added to the napari viewer:
```python
import napari
from napari_omero import OMEROWidget
with napari.gui_qt():
    viewer = napari.Viewer()
    viewer.window.add_dock_widget(OMEROWidget(), area=""right"")
```
as a napari plugin
This package provides a napari reader plugin that accepts OMERO resources as
""proxy strings"" (e.g. Image:<ID>) or as OMERO webclient
URLS.
```python
viewer = napari.Viewer()
omero object identifier string
viewer.open(""Image:1"", plugin=""omero"")
or URLS: https://help.openmicroscopy.org/urls-to-data.html
viewer.open(""http://yourdomain.example.org/omero/webclient/?show=image-314"")
```
these will also work on the napari command line interface, e.g.:
```bash
napari Image:1
or
napari http://yourdomain.example.org/omero/webclient/?show=image-314
```
as an OMERO CLI plugin
This package also serves as a plugin to the OMERO CLI
bash
omero napari view Image:1

ROIs created in napari can be saved back to OMERO via a ""Save ROIs"" button.
napari viewer console has BlitzGateway 'conn' and 'omero_image' in context.

installation
Requires python 3.7 - 3.9.
It's easiest to install omero-py from conda, so the recommended install
procedure is to first create a new conda environment (here called ""omero"")
with omero-py installed from the ome channel, and then use pip to
install napari-omero (until we have a conda package available).
sh
conda create -n omero -c ome python=3.7 omero-py
conda activate omero
pip install napari-omero
issues
| ❗  | This is alpha software & some things will be broken or sub-optimal!  |
| --- | -------------------------------------------------------------------- |

experimental & definitely still buggy!  Bug
  reports are welcome!
remote loading can be very slow still... though this is not strictly an issue
  of this plugin.  Datasets are wrapped as delayed dask stacks, and remote data
  fetching time can be significant.  Plans for asynchronous
  rendering in napari and
  tiled loading from OMERO
  may eventually improve the subjective performance... but remote data loading
  will likely always be a limitation here.

contributing
Contributions are welcome!  To get setup with a development environment:
```bash
clone this repo:
git clone https://github.com/tlambert03/napari-omero.git
change into the new directory
cd napari-omero
create conda environment
conda env create -f environment.yml
activate the new env
conda activate napari-omero
```
To maintain good code quality, this repo uses
flake8,
mypy, and
black.  To enforce code quality when you commit
code, you can install pre-commit
```bash
install pre-commit which will run code checks prior to commits
pre-commit install
```
The original OMERO data loader and CLI extension was created by Will
Moore.
The napari reader plugin and GUI browser was created by Talley
Lambert"
58,napari-plot-profile,Plot intensity along a line in napari,"napari-plot-profile





Plot intensities along a line in napari.

Usage


Open some images in napari.


Add a shapes layer.




Activate the line drawing tool or the path tool and draw a line.



After drawing a line, click on the menu Plugins > Measurements (Plot Profile)
If you modify the line, you may want to click the ""Refresh"" button to redraw the profile.


To see how these steps can be done programmatically from python, check out the demo notebook

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Installation
You can install napari-plot-profile via pip:
pip install napari-plot-profile

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-plot-profile"" is free and open source software
Issues
If you encounter any problems, please create a thread on image.sc along with a detailed description and tag @haesleinhuepf."
59,napari-plugin-search,Find napari plugins,"napari-plugin-search





Find napari plugins

Usage
Enter the name of the plugin you are searching for and use the up and down arrow keys to navigate between them. 
Hit Enter to start a plugin.

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Installation
You can install napari-plugin-search via pip:
pip install napari-plugin-search

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-plugin-search"" is free and open source software
Issues
If you encounter any problems, please create a thread on image.sc along with a detailed description and tag @haesleinhuepf."
60,napari-properties-plotter,A napari plugin that automatically generates interactive plots based on layer properties.,"napari-properties-plotter





A napari plugin that automatically generates interactive plots based on layer properties.

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-properties-plotter via pip:
pip install napari-properties-plotter

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-properties-plotter"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
61,napari-properties-viewer,A viewer for napari layer properties,"napari-properties-viewer





A viewer for napari layer properties

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-properties-viewer via pip:
pip install napari-properties-viewer

Using the properties viewer table

Open a a napari viewer with a layer with properties (e.g., Points)
View the properties by opening the properties viewer plugin from Plugins menu -> Add dock widget -> napari-propertiews-viewer: properties table
The layer property values are now displayed in the table widget. You can edit the values by double clicking the cell of interest and entering a new value.

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-properties-viewer"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
62,napari-pyclesperanto-assistant,GPU-accelerated image processing in napari using OpenCL,"napari-pyclesperanto-assistant







The py-clEsperanto-assistant is a yet experimental napari plugin for building GPU-accelerated image processing workflows. 
It is part of the clEsperanto project and thus, aims at removing programming language related barriers between image processing ecosystems in the life sciences. 
It uses pyclesperanto and with that pyopencl as backend for processing images.
This plugin was generated with Cookiecutter using with napari's cookiecutter-napari-plugin template.

Installation
It is recommended to install the assistant via conda:
shell
conda create --name bio11 python==3.8.5 
conda activate bio11 
conda install -c conda-forge pyopencl==2021.2.1
pip install napari-pyclesperanto-assistant
pip install napari[all]
Alternatively, you can install the assistant using napari's plugin installer in the menu Plugins > Install/uninstall Packages.
Windows users should paste this URL
https://github.com/clEsperanto/napari_pyclesperanto_assistant/blob/master/installation_help/pyopencl-2020.3.1+cl12-cp38-cp38-win_amd64.whl?raw=true
in this field and click on Install before proceeding:

Afterwards, click install clEsperanto like by clicking on Install here:

You can then start napari, e.g. from command line, and find the assistant in the Plugins menu.
shell
napari

Features
pyclesperanto offers various possibilities for processing images. It comes from developers who work in life sciences and thus, it may be focused towards processing two- and three-dimensional microscopy image data showing cells and tissues. A selection of pyclesperanto's functionality is available via the assistant user interface. Typical workflows which can be built with this assistant include
* image filtering
  * denoising / noise reduction (mean, median, Gaussian blur)
  * background subtraction for uneven illumination or out-of-focus light (bottom-hat, top-hat, subtract Gaussian background)
  * grey value morphology (local minimum, maximum. variance)
  * gamma correction
  * Laplace operator
  * Sobel operator
* combining images
  * masking
  * image math (adding, subtracting, multiplying, dividing images) 
  * absolute / squared difference
* image transformations
  * translation
  * rotation
  * scale
  * reduce stack
  * sub-stacks
* image projections
  * minimum / mean / maximum / sum / standard deviation projections
* image segmentation
  * binarization (thresholding, local maxima detection)
  * labeling
  * regionalization
  * instance segmentation
  * semantic segmentation
  * detect label edges
  * label spots
  * connected component labeling
  * Voronoi-Otsu-labeling
* post-processing of binary images
  * dilation
  * erosion
  * binary opening
  * binary closing 
  * binary and / or / xor
* post-processing of label images
  * dilation (expansion) of labels
  * extend labels via Voronoi
  * exclude labels on edges
  * exclude labels within / out of size / value range
  * merge touching labels
* parametric maps
  * proximal / touching neighbor count
  * distance measurements to touching / proximal / n-nearest neighbors
  * pixel count map
  * mean / maximum / extension ratio map
* label measurements / post processing of parametric maps
  * minimum / mean / maximum / standard deviation intensity maps
  * minimum / mean / maximum / standard deviation of touching / n-nearest / neighbors
* neighbor meshes
  * touching neighbors
  * n-nearest neighbors
  * proximal neighbors
  * distance meshes
* measurements based on label images
  * bounding box 2D / 3D
  * minimum / mean / maximum / sum / standard deviation intensity
  * center of mass
  * centroid
  * mean / maximum distance to centroid (and extension ratio shape descriptor)
  * mean / maximum distance to center of mass (and extension ratio shape descriptor)
* code export
  * python / Fiji-compatible jython
  * python jupyter notebooks
* pyclesperanto scripting
  * cell segmentation
  * cell counting
  * cell differentiation
  * tissue classification
Usage
Start up the assistant
Start up napari, e.g. from the command line:
napari
Load example data, e.g. from the menu File > Open Samples > clEsperanto > CalibZAPWfixed and 
start the assistant from the menu Plugins > clEsperanto > Assistant. Select a GPU in case you are asked to.

In case of two dimensional timelapse data, an initial conversion step might be necessary depending on your data source. 
Click the menu Plugins > clEsperanto > Convert to 2d timelapse. In the dialog, select the dataset and click ok. 
You can delete the original dataset afterwards:

Set up a workflow
Choose categories of operations in the top right panel, for example start with denoising using a Gaussian Blur with sigma 1 in x and y.

Continue with background removal using the top-hat filter with radius 5 in x and y.

For labeling the objects, use Voronoi-Otsu-Labeling with both sigma parameters set to 2.

The labeled objects can be extended using a Voronoi diagram to derive a estimations of cell boundaries.

You can then configure napari to show the label boundaries on top of the original image:

When your workflow is set up, click the play button below your dataset:

Code generation
You can also export your workflow as Python/Jython code or as notebook.

After exporting your workflow as Jupyter notebook, you can start the notebook from the command line using
jupyter notebook my_notebook.ipynb
In some cases you need to replace the command cle.imread('None)` with a command loading your image data. 
After that, you can execute the notebook.

You can also export code to the clipboard or as python code to disc. 
This python code can also be executed in Fiji`s Jython, in case the CLIJx-assistant is installed.

Also note: The generated python/jython code is not capable of processing timelapse data,
you need to program a for-loop processing timepoints individually yourself. 
Work in progress, contributions welcome.
For developers
Getting the recent code from github and locally installing it
```
git clone https://github.com/clesperanto/napari_pyclesperanto_assistant.git
pip install -e ./napari_pyclesperanto_assistant
```
Optional: Also install pyclesperantos recent source code from github:
```
git clone https://github.com/clEsperanto/pyclesperanto_prototype.git
pip install -e ./pyclesperanto_prototype
```
Feedback welcome!
clEsperanto is developed in the open because we believe in the open source community. See our community guidelines. Feel free to drop feedback as github issue or via image.sc
Imprint"
63,napari-sdeconv,2D and 3D image deconvolution,"Description
napari-sdeconv is a suite of Napari plugins for the sdeconv library
<https://sylvainprigent.github.io/sdeconv/>_ dedicated to 2D and 3D images deconvolution. It contains multiple
deconvolution algorithms and PSF Generators.

Example of deconvolution with Spitfire



Example of how to generate a 3D PSF


Installation
You can install napari-sdeconv via pip:
pip install napari-sdeconv

Note that the current version of the package on support python 3.9    
The deconvolution depends on FFTW c++ library. FFTW must be installed for the 
deconvolution plugin to work. The easiest method to install FFTW is to use 
conda:
conda install -c conda-forge fftw

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the GNU GPL v3.0 license,
""napari-tracks-reader"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
64,napari-sdtfile,A napari plugin for reading files via sdtfile,
65,napari-segment-blobs-and-things-with-membranes,A plugin based on scikit-image for segmenting nuclei and cells based on fluorescent microscopy images with high intensity in nuclei and/or membranes,"napari-segment-blobs-and-things-with-membranes





A plugin based on scikit-image for segmenting nuclei and cells based on fluorescent microscopy images with high intensity in nuclei and/or membranes. 
The available functions and their user interface based on magicgui are shown below. You can also call these functions
as shown in the demo notebook.
Voronoi-Otsu-Labeling
This algorithm uses Otsu's thresholding method in combination with 
Gaussian blur and a 
Voronoi-Tesselation 
approach to label bright objects such as nuclei in an intensity image. The alogrithm has two sigma parameters which allow
you to fine-tune where objects should be cut (spot_sigma) and how smooth outlines should be (outline_sigma).
This implementation aims to be similar to Voronoi-Otsu-Labeling in clesperanto.

Seeded Watershed
Starting from an image showing high-intensity membranes and a seed-image where objects have been labeled (e.g. using Voronoi-Otsu-Labeling),
objects are labeled that are constrained by the membranes.

Gaussian blur
Applies a Gaussian blur to an
image. This might be useful for denoising, e.g. before applying the Threshold-Otsu method.

Subtract background
Subtracts background using scikit-image's rolling-ball algorithm. 
This might be useful, for example to make intensity of membranes more similar in different regions of an image.

Threshold Otsu
Binarizes an image using scikit-image's threshold Otsu algorithm, also known as 
Otsu's method.

Split touching objects (formerly known as binary watershed).
In case objects stick together after thresholding, this tool might help.
It aims to deliver similar results as ImageJ's watershed implementation.

Connected component labeling
Takes a binary image and produces a label image with all separated objects labeled differently. Under the hood, it uses
scikit-image's label function.


This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Installation
Download, unzip and install napari from its github releases page:

Afterwards, go to the menu Plugins > Install/uninstall plugins... and click on the install button next to napari-segment-blobs-and-things-with-membranes:

You can also install napari-segment-blobs-and-things-with-membranes via pip:
pip install napari-segment-blobs-and-things-with-membranes

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-segment-blobs-and-things-with-membranes"" is free and open source software
Issues
If you encounter any problems, please create a thread on image.sc along with a detailed description and tag @haesleinhuepf."
66,napari-skimage-regionprops,A regionprops table widget plugin for napari,"napari-skimage-regionprops





A napari plugin for measuring properties of labeled objects based on scikit-image

Features
The user can select categories of features for feature extraction in the user interface. These categories contain measurements from the scikit-image regionprops list of measurements library:


size:


area


bbox_area


convex_area


equivalent_diameter


intensity:


max_intensity 


mean_intensity


min_intensity


standard_deviation_intensity (extra_properties implementation using numpy)


perimeter:


perimeter


perimeter_crofton


shape


major_axis_length


minor_axis_length


orientation


solidity


eccentricity


extent


feret_diameter_max


local_centroid


position:


centroid


bbox


weighted_centroid


moments:


moments


moments_central


moments_hu


moments_normalized


This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.
Installation
You can install napari-skimage-regionprops via pip:
pip install napari-skimage-regionprops

Or if you plan to develop it:
git clone https://github.com/haesleinhuepf/napari-skimage-regionprops

cd napari-skimage-regionprops

pip install -e .

If there is an error message suggesting that git is not installed, run conda install git.
Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-skimage-regionprops"" is free and open source software
Issues
If you encounter any problems, please create a thread on image.sc along with a detailed description and tag @haesleinhuepf."
67,napari-spacetx-explorer,visualizer for spatial omic data,The developer has not yet provided a napari-hub specific description.
68,napari-stl-exporter,Exports label images to 3D-printable stl files.,"napari-stl-exporter





Exports label images to 3D-printable stl files. 
Features
You can easily create label layers from normal image layers in napari by converting them:

The label layer is then saved as a 3D-printable stl file if the filename is provided accordingly (e.g., MyExampleFile.stl). To actually send your object to a 3D-printer, it has to be further converted with a Slicer program which actually controls the print parameters (Level of detail, layer thickness, etc). Popular freeware slicers are:

Slic3r
Prusa Slicer


This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-stl-exporter via pip:
pip install napari-stl-exporter

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-stl-exporter"" is free and open source software
Issues
If you encounter any problems, please [file an issue] along with a detailed description or post to image.sc and tag El_Pollo_Diablo"
69,napari-stracking,Linking and tracks analysis,"Description
The STracking suite provides a set of plugins for particles tracking in 2D+t and 3D+t images. 
A classical particles tracking pipeline is made of 5 sequential steps:

Particles detection frame by frame



Particles properties calculation (optional)



Particles linking



Tracks features extraction (optional)



Tracks filtering (optional)


Installation
You can install napari-stracking via pip:
pip install napari-stracking

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the GNU GPL v3.0 license,
""napari-tracks-reader"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
70,napari-svg,A plugin for reading and writing svg files with napari,"napari-svg





A plugin for reading and writing svg files with napari

This napari plugin was generated with Cookiecutter using with @napari's cookiecutter-napari-plugin template.

Installation
You can install napari-svg via pip:
pip install napari-svg

Contributing
Contributions are very welcome. Tests can be run with tox, please ensure
the coverage at least stays the same before you submit a pull request.
License
Distributed under the terms of the BSD-3 license,
""napari-svg"" is free and open source software
Issues
If you encounter any problems, please file an issue along with a detailed description."
71,napari-tifffile,A napari plugin for reading files via tifffile,
72,napari-tissuumaps,A plugin to add compatibility with Tissuumaps,The developer has not yet provided a napari-hub specific description.
